Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Proportion,Previous Cumulative Payout,Payout
Acs26,1pK5e7YxixmERU617STiXgiGdnactBQrT
Alex0909,1Mgvwf4B1VFWKyT91tYnRVPqpTv4ddrfVT
Alyssa85,1ERn5JRTm5P47LzhiLCbKtduwj9M3cPE81
Ashleysly,1Mdu9MbAEsUm81NzEPQR7GCkUxbG39pWMy
Atruk,1x1yenCV3GxoiGPjpE1iykCH9kcmS8fsr,0,0,0,18674,18674,18674,19,0.0326170302328,19,0
Balthozar,1kFhM8vtEzbZ43Z5wcadPvNrb4xFXbgze,0,0,0,7029,7029,7029,7,0.0122772360237,0,7
Barnacle_Ed,16xxKVrtDxTuEJhADUxVmZK94im43RXi45,0,0,0,3830,3830,3830,4,0.00668968757587,3,1
BitcoinAlchemist,1JBmwfJ4HmxTDDYwZY1rC63xR9h8Usqtat
CaramelSunshine,1DMjwKJBkt2aujYJPuSCooRNNn9JUJs7Yx,0,0,0,3963,3963,3963,4,0.00692199265357,0,4
Ceebizcut,1M5haKYJ8PJ43kHTs6okSBLj5gUhLRQiUJ
CryptoAddicto,1DKhy7jj8oB53iGZYrWzDSfcVoKHjsuxaa,5361,1608,0,40383,45744,41991,42,0.0733437783286,25,17
Cryptobyte,1HwxMzbFqZfyE6HaR2D3keJQ1ync1V5UQR
Cryptopi,19GkNDjmTiGsmyCijGx6tpXdT67W3rNPHE
DeadSea33,1A9qwtctYmYrCKSegy7RrNCUJxuohwFQmD,0,0,0,1103,1103,1103,1,0.00192656015566,0,1
Dexter,18jMxk8jqwvgpx4wT48VAb6jGbYNazz4b7
Diamondcardz,18q45dAKGakQdPkjrg17NrfdiFGKWULwSJ 
Eammy,1EPRS5bUm6USqLWZf5faBzZF2dXhHdyfgc
Eeharris,1CfWWyDNUeioJc7TBnqDBDyQKJUYwT7S2Z
Emfox,1Emfox1WswYcd2YucUskRzqfRWKkcm1Jut,0,0,0,5913,5913,5913,6,0.0103279693567,0,6
Emilianoz,1EykDePNj9311jvwcUaZczCjNFQ6Ep1zmi,0,0,0,1636,1636,1636,2,0.00285752712118,0,2
Fheenix,1JvdsgxiJQYAJSE4Tjs3BWbXZk6Kw9mxnB,0,0,0,15064,15064,15064,15,0.0263116066953,0,15
FinShaggy,1BbHG9is6AisQq47Zxi9KHVb3Duo6Lbi9M,0,0,0,63840,63840,63840,64,0.111506437296,0,64
FuzzyBear,18xskifRMWUtMzbHSzQi7rEWF5upmktgF2,0,0,0,18402,18402,18402,18,0.0321419401491,10,8
Gabcab,14JoB7XgPE57yZ4G57YrEFSurf35TGBE8t,0,0,0,7303,7303,7303,7,0.0127558194169,0,7
Glongsword,1CRfD8qjUd8uKnYX35oxz8qAYrCnn2Zryc
Grantbills,1Dz6fEZma7bUwnGo44yRjgduP71cWtkgS4
Grc,1FxaZmCkaqkKxbBz52fNAMe9bRn2GoECvf,1550,465,0,709,2259,1174,1,0.00205057264075,0,1
Hellinoos,19xyjSda5tHdkdyYCSsEp9Psq9ELgKJrJd
Hemingway,1Mrin7GnKsBPJ78mqZiChKzNtY5WC84WFZ
IanBerble,1P6NSPXyGxPsetEE1qjWnvpPyZk3qnNboR,0,0,0,1078,1078,1078,1,0.00188289378767,1,0
Ibrennan,14TM5MS9J3TZF2ZmAW91kCxVUHxeWTtLji,0,0,0,1004,1004,1004,1,0.00175364133843,0,1
Icoin,18HfzUZXGA3FZ1BM8abEmjBT9Wg52qQ4Sr,0,0,0,634,634,634,0,0.00110737909219,0,0
Infoporter,1EyUQD2gwHExXnJKSkhGeQsGwAPUuVvwcE,0,0,0,851,851,851,0,0.00148640316634,0,0
Jackjack,19QkqAza7BHFTuoz9N8UQkryP4E9jHo4N3,0,0,0,1095,1095,1095,1,0.00191258691791,1,0
Jasinlee,1Ahu957fXXwhJ5LqmpxMFHVWwSQ7h4PkXb
Jdean1,1AKHyiMrE5e648KYdvzHDcJcf8QBPjSnXR,0,0,0,2567,2567,2567,3,0.00448366266508,0,3
Knotwork,121Pb2BBrU7C61vBdWCKVuFFmaEZr6xFAX,0,0,5,54031,54031,54081,54,0.0944608338879,50,4
Kumala,1Fmz2cba6x2ZZqEdD4DyWPV6hYFuEGe2rW,0,0,0,2192,2192,2192,2,0.00382866714525,2,0
Lawyer,13B9eDYgwTdhfWHgQXYT8EWNpL3uV4Ffie
Leojane,15szdWSCEVAvXVEKsrEtcKNtCfmo69drZ9,0,0,0,1025,1025,1025,1,0.00179032108754,0,1
Marticps,12UVr7jmrEitXQfzDPXAQ7etiVaa21p4iT,1123,336,0,1050,2173,1386,1,0.00242086344129,0,1
Matt2416,19wkReFDngXWYvqrC7g96SD3uuqR5P8ahX
Maximilian_Wilhelm,1BroUgeCemQvWeYBekpFyEFGZVqrXnrtQ9,0,0,0,21534,21534,21534,22,0.0376124627308,0,22
Metazilla,1CJSRunQtPQsiZRK7vznyeCfyDTb2kxGA8,0,0,0,10987,10987,10987,11,0.0191904954037,0,11
Mosinnagant,1MWgsbq9464j7RF8WFdJzV72ZKpCxceNfW,0,0,0,31081,31081,31081,31,0.0542877753383,1,30
Moxy_Jane,184yBE6BY5WRpUvj7pzXjdRaemUByHvgx3
Odolvlobo,1dmnkVoTBRLvJMSpRGnVMvFR7ygsKz3s4 
Ondratra,12QHFnbkJEwv8jmmwcXQqLyfTATqpH1eaq,0,0,0,1293,1293,1293,1,0.00225842455238,0,1
Operaficionado,19FLaursDZbNyB7Fvj4wjKXYcX8GrZkkGr,0,0,0,14498,14498,14498,14,0.025323000124,1,13
Osoverflow,1AzAEfFAcctucZB9H2P5d8TRJQFLWyBJPf 
Pepegom,1DHAQVz32aMV85AazVHEz8ryeYAArV5pTc,0,0,0,2119,2119,2119,2,0.00370116135072,1,1
Python,1DTdNS3EksVgYAs7yykVA1eifjEHNqsqaY,535,160,0,2511,3046,2671,3,0.00466531475591,0,3
Raptorak,1ASdsZ1JUwtVXDfYBx7MRNMeHQ8J51pSRw
Serena,1Hq7gyvgYCnusxcvosmSy26jXXSudnsgwg,0,0,0,31339,31339,31339,31,0.0547384122559,0,31
Shakezula,1AyjX2QpTYFnmMFnzD3A2sqosfrrMuKbcz
Stealtheh,1KZBFKD7NpV7ndufLZfKDdQgRz8nfXEBDm
Termhn,1HXeAHn3LrCo7Xv6EU1rHsdvoY8nu9RGZL,1054,316,0,6212,7266,6528,7,0.0114021620092,0,7
The_Goat_Master,1KGxe5my4BWjt9CExxPTWBRLVfdfeB6Ery
Tosku,1QEMKqsW3y7EgEefSoCR5DLvUvH4xs5zdJ,0,0,0,2435,2435,2435,2,0.0042531042421,1,1
Unthinkingbit,17vec4jQGCzMEsTnivizHPaowE715tu2CB,48111,14433,0,114000,162111,128433,128,0.224328105596,129,0
Veruminnumeris,1KZZaLCMPTh9tiNZ7JDXeZUjr6yPYYwtGD
Vilmanoella,14wvMyGUXvJpdW2GbKWCEsMDw5s5Ay2F4r
Weisoq,1Cy9e1Yuwboj63XRkMkT6W6YsGDtYDrsUp,621,186,0,41252,41873,41438,41,0.0723778782686,0,41
WildElf,13pG9etGRXHjWqE8sc4dhheGzaZT5LsuRk,0,0,0,21161,21161,21161,21,0.0369609605204,0,21
Wiser,1LpoMowMPEVWk2LaJUdAUNaK7gBDRA1r7F
Xchrix,13Q4drkP51gHsabCUXC5XPEBEUUYurMdvB
Xenophaux,1H5qJrnYG9pPzFZ2zbmKihymnB23ViEbXz
Yungbull,1NgSfubWAAYrApH5rAe8RYcfdtQTNbWxbo,0,0,0,1171,1171,1171,1,0.00204533267659,0,1
Atruk,1x1yenCV3GxoiGPjpE1iykCH9kcmS8fsr,0,0,0,18674,18674,18674,19,0.0427555510782,19,0
Balthozar,1kFhM8vtEzbZ43Z5wcadPvNrb4xFXbgze,0,0,0,4001,4001,4001,4,0.00916059547305,0,4
Barnacle_Ed,1G2SGLjNvrhZPZfEeqnmFtK16mddroKArw,0,0,0,3363,3363,3363,3,0.00769984568255,3,0
CryptoAddicto,1DnUdPN8k4djtdBNTouQxEJd5DQqZMt5Z5,5361,1608,0,23697,29058,25305,25,0.0579377326782,25,0
FinShaggy,1mZW6zRuz5wRrCijYgEnJWcncBiqRyFPN,0,0,0,62231,62231,62231,62,0.142482633562,0,62
FuzzyBear,18xskifRMWUtMzbHSzQi7rEWF5upmktgF2,0,0,0,16980,16980,16980,17,0.038877008531,10,7
IanBerble,1P6NSPXyGxPsetEE1qjWnvpPyZk3qnNboR,0,0,0,1078,1078,1078,1,0.00246816343913,1,0
Ibrennan,14TM5MS9J3TZF2ZmAW91kCxVUHxeWTtLji,0,0,0,1004,1004,1004,1,0.00229873478004,0,1
Jackjack,19QkqAza7BHFTuoz9N8UQkryP4E9jHo4N3,0,0,0,1095,1095,1095,1,0.00250708623919,1,0
Jdean1,1AKHyiMrE5e648KYdvzHDcJcf8QBPjSnXR,0,0,0,2106,2106,2106,2,0.00482184805455,0,2
Knotwork,121Pb2BBrU7C61vBdWCKVuFFmaEZr6xFAX,0,0,5,52414,52414,52464,52,0.120120340139,50,2
Kumala,1Fmz2cba6x2ZZqEdD4DyWPV6hYFuEGe2rW,0,0,0,2192,2192,2192,2,0.00501875163132,2,0
Marticps,12UVr7jmrEitXQfzDPXAQ7etiVaa21p4iT,1123,336,0,1050,2173,1386,1,0.00317335299316,0,1
Metazilla,1CJSRunQtPQsiZRK7vznyeCfyDTb2kxGA8,0,0,0,8540,8540,8540,9,0.0195529830892,0,9
Mosinnagant,1MWgsbq9464j7RF8WFdJzV72ZKpCxceNfW,0,0,0,13077,13077,13077,13,0.0299407915524,1,12
Operaficionado,19FLaursDZbNyB7Fvj4wjKXYcX8GrZkkGr,0,0,0,9136,9136,9136,9,0.0209175706678,1,8
Pepegom,1DHAQVz32aMV85AazVHEz8ryeYAArV5pTc,0,0,0,1273,1273,1273,1,0.00291463085159,1,0
Python,1DTdNS3EksVgYAs7yykVA1eifjEHNqsqaY,535,160,0,1608,2143,1768,2,0.00404797120629,0,2
Serena,1Hq7gyvgYCnusxcvosmSy26jXXSudnsgwg,0,0,0,31339,31339,31339,31,0.0717530371232,0,31
Termhn,1GDrnVcQFG9GfKGnXNZwkiMMKszBPmPJXW,1054,316,0,6212,7266,6528,7,0.0149463552232,0,7
Tosku,1QEMKqsW3y7EgEefSoCR5DLvUvH4xs5zdJ,0,0,0,1290,1290,1290,1,0.00295355365165,1,0
Unthinkingbit,17vec4jQGCzMEsTnivizHPaowE715tu2CB,42339,12701,0,113936,156275,126637,127,0.289945095956,129,0
Weisoq,1Cy9e1Yuwboj63XRkMkT6W6YsGDtYDrsUp,0,0,0,24134,24134,24134,24,0.055256638627,0,24
WildElf,1KcKhKTXWX6TN6KJxGpBcDNxwsPWmKk2Tj,0,0,0,21161,21161,21161,21,0.0484497277694,0,21
,Totals,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Proportion,Previous Cumulative Payout,Payout
,,50412,15121,5,421591,472003,436762,435,1.0,244,193
,Date
,2013-04-30
