Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Proportion,Previous Cumulative Payout,Payout,Unique Page Views,Normalized Root Worth,Bounded Earnings Multiplier,Earnings
Acs26,1pK5e7YxixmERU617STiXgiGdnactBQrT,0,0,0,2251,2251,2251,2,0.00080849222127,2,0,0,0.0,0.0,0
Alex0909,1Mgvwf4B1VFWKyT91tYnRVPqpTv4ddrfVT,2270,681,0,75173,77443,75854,76,0.0272444997567,76,0,4,1.00957680322,0.0,0
Alyssa85,1ERn5JRTm5P47LzhiLCbKtduwj9M3cPE81,0,0,4,10710,10710,10750,11,0.00386108013268,10,1,17,2.36253962667,1.25,1
Ashleysly,1Mdu9MbAEsUm81NzEPQR7GCkUxbG39pWMy,0,0,0,15003,15003,15003,15,0.00538863118424,15,0,4,1.51387305045,0.0,0
Athanasios_motok,1GTYZbUEaxKrwCrCDU7GvT84Xx7imvQ2ro
Atruk,1x1yenCV3GxoiGPjpE1iykCH9kcmS8fsr,0,0,0,22236,22236,22236,22,0.0079865095656,22,0,3,1.27683604617,0.0,0
Balthozar,1kFhM8vtEzbZ43Z5wcadPvNrb4xFXbgze,0,0,4,10756,10756,10796,11,0.00387760196394,11,0,3,1.52962010081,0.0,0
Barnacle_Ed,16xxKVrtDxTuEJhADUxVmZK94im43RXi45,0,0,0,36760,36760,36760,37,0.0132030982025,37,0,5,1.27943319033,0.0,0
BitcoinAlchemist,1JBmwfJ4HmxTDDYwZY1rC63xR9h8Usqtat,0,0,0,22453,22453,22453,22,0.00806444950874,18,4,6,1.51474038992,1.20114179357,5
Bmlzootown,1Dx6QsUh2BjcYSkFdFtrCRC9Xx5fDJWeHp,0,0,0,1281,1281,1281,1,0.000460097083717,1,0,1,1.98030327138,0.0,0
Boelens,1PZ4yQmyi4JsfhUUHJiNs15gt98MreQXw1,0,0,0,1419,1419,1419,1,0.000509662577513,1,0,0,0.0,0.0,0
CaramelSunshine,14yBc8zcJZh8nhUVx62RBX1n19Nw4pgy2q,0,0,0,3963,3963,3963,4,0.00142339168054,4,0,0,0.0,0.0,0
Ceebizcut,1M5haKYJ8PJ43kHTs6okSBLj5gUhLRQiUJ,0,0,0,34488,34488,34488,34,0.0123870634061,31,3,2,1.03385464611,0.819814426411,2
CryptoAddicto,1DKhy7jj8oB53iGZYrWzDSfcVoKHjsuxaa,5361,1608,0,80690,86051,82298,82,0.0295589928148,52,30,30,1.63701244384,1.25,38
Cryptobyte,1HwxMzbFqZfyE6HaR2D3keJQ1ync1V5UQR,0,0,0,5145,5145,5145,5,0.00184793091001,5,0,0,0.0,0.0,0
Cryptopi,16wwpo6sJeFFWMnSy7ySa62mZLTAWohyP7,0,0,3,61964,61964,61994,62,0.0222664001623,46,16,3,0.988124997738,0.7835522443,13
DeadSea33,1A9qwtctYmYrCKSegy7RrNCUJxuohwFQmD,28726,8617,103,88374,117100,98021,98,0.0352062265754,81,17,3,0.881189916426,0.75,13
Devguy,1QAZtw4SYaMfceg55uL2yarTnDtjySSyXz
Devtome_Writer,17wwzTrWrk1buS9bxEFdgTsvhiyrDakBZe,0,0,0,10248,10248,10248,10,0.00368077666974,10,0,0,0.0,0.0,0
Dexter,18jMxk8jqwvgpx4wT48VAb6jGbYNazz4b7,15731,4719,69,93401,109132,98810,99,0.0354896118986,82,17,8,1.12380577437,0.891142860144,15
Diamondcardz,18q45dAKGakQdPkjrg17NrfdiFGKWULwSJ,0,0,2,2077,2077,2097,2,0.000753180003556,2,0,0,0.0,0.0,0
Eammy,1EPRS5bUm6USqLWZf5faBzZF2dXhHdyfgc,0,0,5,9241,9241,9291,9,0.00333705074537,9,0,0,0.0,0.0,0
Ecafe,17tRggPGbLBVWFBoySALZXTABD2zSe3kEW,0,0,0,10411,10411,10411,10,0.00373932141966,0,10,41,2.96784926672,1.25,13
Eeharris,1CfWWyDNUeioJc7TBnqDBDyQKJUYwT7S2Z,327630,98289,1,118746,446376,217045,180,0.0779561058044,100,80,821,2.93810512161,1.25,100
Emfox,1Emfox1WswYcd2YucUskRzqfRWKkcm1Jut,0,0,0,5518,5518,5518,6,0.00198190141136,6,0,0,0.0,0.0,0
Emilianoz,1EykDePNj9311jvwcUaZczCjNFQ6Ep1zmi,10577,3173,2,13959,24536,17152,17,0.00616048804053,15,2,4,1.46404792422,1.16094425241,2
Eroxors,1GhARG75QssPfXntVLW5wwpqPP6H2fRbmo,0,0,0,1580,1580,1580,2,0.000567488986942,2,0,0,0.0,0.0,0
Estera,14VRNYCwocTSAyPprHnKx12Eim6jDBHYZq,0,0,0,16915,16915,16915,17,0.00607536469249,17,0,0,0.0,0.0,0
Fheenix,1JvdsgxiJQYAJSE4Tjs3BWbXZk6Kw9mxnB,0,0,54,173440,173440,173980,174,0.0624884392077,131,43,47,1.51886306128,1.20441094312,52
FinShaggy,1Cz5aivRFToakTozfch7iZXSY2YBwd9qQZ,0,0,23,70236,70236,70466,70,0.0253092904771,71,0,12,1.35337887725,0.0,0
Ftgcoin,1BjhhLoE7mJdy8Mw1mNAgceJ7tP2tPnySF,0,0,0,7104,7104,7104,7,0.00255154541977,0,7,2,1.53461962616,1.21690540668,9
FuzzyBear,18xskifRMWUtMzbHSzQi7rEWF5upmktgF2,0,0,7,15792,15792,15862,16,0.00569715842461,16,0,82,3.17674945476,0.0,0
Gabcab,14JoB7XgPE57yZ4G57YrEFSurf35TGBE8t,0,0,0,7303,7303,7303,7,0.00262302029851,7,0,3,1.68664613659,0.0,0
Glongsword,1CRfD8qjUd8uKnYX35oxz8qAYrCnn2Zryc,0,0,0,1110,1110,1110,1,0.000398678971839,1,0,1,2.05252399364,0.0,0
Grantbills,1Dz6fEZma7bUwnGo44yRjgduP71cWtkgS4,0,0,3,27156,27156,27186,27,0.00976440227786,27,0,2,1.09721101309,0.0,0
Grc,1FxaZmCkaqkKxbBz52fNAMe9bRn2GoECvf,1550,465,0,709,2259,1174,1,0.000421665867513,1,0,1,2.02396017676,0.0,0
Heliumbm,1Fm4p5nVbKxaYaQz4kuANQG2scDBLRvECJ,0,0,0,17656,17656,17656,18,0.00634150984396,5,13,0,0.0,0.75,10
Hellinoos,1GnJic1ATC7R7cbzBR6Q7Yqziv7bwj8aQY,0,0,0,13638,13638,13638,14,0.00489836379995,14,0,0,0.0,0.0,0
Hemingway,1Mrin7GnKsBPJ78mqZiChKzNtY5WC84WFZ,0,0,0,25020,25020,25020,25,0.0089864395274,25,0,0,0.0,0.0,0
IanBerble,1P6NSPXyGxPsetEE1qjWnvpPyZk3qnNboR,0,0,0,1078,1078,1078,1,0.000387185524002,1,0,0,0.0,0.0,0
Ibrennan,14TM5MS9J3TZF2ZmAW91kCxVUHxeWTtLji,0,0,0,1004,1004,1004,1,0.00036060692588,1,0,0,0.0,0.0,0
Icoin,18HfzUZXGA3FZ1BM8abEmjBT9Wg52qQ4Sr,0,0,0,634,634,634,0,0.000227713935267,0,0,0,0.0,0.0,0
Imatt1990,17czLaECADux6yASXbxLLPqvnTSc9sD2PN,0,0,0,3821,3821,3821,4,0.00137238950576,0,4,0,0.0,0.75,3
Infoporter,1EyUQD2gwHExXnJKSkhGeQsGwAPUuVvwcE,0,0,0,851,851,851,0,0.00030565387841,0,0,2,0.0,0.0,0
Jackjack,19QkqAza7BHFTuoz9N8UQkryP4E9jHo4N3,0,0,0,1095,1095,1095,1,0.000393291418166,1,0,19,4.299855468,0.0,0
JackRussell,1CcWpm9HSqZwE96H3SeB7V1QGUhGHfxJh,0,0,1,13972,13972,13982,14,0.0050219183642,9,5,8,1.83231087686,1.25,6
Jasinlee,1Ahu957fXXwhJ5LqmpxMFHVWwSQ7h4PkXb
Jdean1,1AKHyiMrE5e648KYdvzHDcJcf8QBPjSnXR,0,0,0,2567,2567,2567,3,0.000921990018659,3,0,0,0.0,0.0,0
Jessiewaterfield,1BjvzSbfC2MhAVG2xvhkjuXZxApB8CgCnn,0,0,0,3078,3078,3078,3,0.0011055260138,0,3,8,2.67500334987,1.25,4
Jungle_dave,14itNE5APTMtXzNZteDeZNkNH2AUJQY1Zh
