Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Proportion,Previous Cumulative Payout,Payout,Unique Page Views,Normalized Root Worth,Bounded Earnings Multiplier,Earnings
Acs26,1pK5e7YxixmERU617STiXgiGdnactBQrT,0,0,0,2600,2600,2600,3,0.000806127061747,2,1,0,0.0,0.75,1
Alex0909,1Mgvwf4B1VFWKyT91tYnRVPqpTv4ddrfVT,2270,681,0,75173,77443,75854,76,0.0235184469776,76,0,34,0.811804877794,0.0,0
Alyssa85,1ERn5JRTm5P47LzhiLCbKtduwj9M3cPE81,0,0,4,10139,10139,10179,10,0.00315598744674,11,0,174,2.01737940332,0.0,0
Ashleysly,1Mdu9MbAEsUm81NzEPQR7GCkUxbG39pWMy,0,0,0,15003,15003,15003,15,0.00465166319515,15,0,11,0.91807929491,0.0,0
Athanasios_motok,1GTYZbUEaxKrwCrCDU7GvT84Xx7imvQ2ro,0,0,1,403,403,413,0,0.00012805018327,0,0,6,0.0,0.0,0
Atruk,1x1yenCV3GxoiGPjpE1iykCH9kcmS8fsr,0,0,0,22236,22236,22236,22,0.00689424667116,22,0,12,0.850369537526,0.0,0
Balthozar,1kFhM8vtEzbZ43Z5wcadPvNrb4xFXbgze,0,0,4,10756,10756,10796,11,0.00334728759947,11,0,11,0.996802231082,0.0,0
Barnacle_Ed,16xxKVrtDxTuEJhADUxVmZK94im43RXi45,0,0,0,36760,36760,36760,37,0.0113973964576,37,0,28,0.926877161609,0.0,0
BitcoinAlchemist,1JBmwfJ4HmxTDDYwZY1rC63xR9h8Usqtat,0,0,0,24769,24769,24769,25,0.00767960045862,22,3,17,0.903049717518,0.75,2
Bmlzootown,1Dx6QsUh2BjcYSkFdFtrCRC9Xx5fDJWeHp,0,0,0,1281,1281,1281,1,0.000397172602346,1,0,0,0.0,0.0,0
Boelens,1PZ4yQmyi4JsfhUUHJiNs15gt98MreQXw1,0,0,0,1419,1419,1419,1,0.000439959346392,1,0,1,0.909035722714,0.0,0
CaramelSunshine,14yBc8zcJZh8nhUVx62RBX1n19Nw4pgy2q,0,0,0,3963,3963,3963,4,0.00122872367143,4,0,0,0.0,0.0,0
Ceebizcut,1M5haKYJ8PJ43kHTs6okSBLj5gUhLRQiUJ,0,0,0,34488,34488,34488,34,0.0106929654252,34,0,9,0.709120717742,0.0,0
CryptoAddicto,1DKhy7jj8oB53iGZYrWzDSfcVoKHjsuxaa,5361,1608,0,82674,88035,84282,84,0.0261315388532,82,2,116,1.07462598584,0.831156035921,2
Cryptobyte,1HwxMzbFqZfyE6HaR2D3keJQ1ync1V5UQR,0,0,0,5145,5145,5145,5,0.00159520143565,5,0,0,0.0,0.0,0
Cryptopi,16wwpo6sJeFFWMnSy7ySa62mZLTAWohyP7,0,0,3,78813,78813,78843,79,0.0244451830498,62,17,38,0.826669020998,0.75,13
DeadSea33,1A9qwtctYmYrCKSegy7RrNCUJxuohwFQmD,28726,8617,119,93575,122301,103382,103,0.0320534722683,98,5,49,0.823217011976,0.75,4
Devguy,1QAZtw4SYaMfceg55uL2yarTnDtjySSyXz,0,0,1,12148,12148,12158,12,0.00376957416028,0,12,83,1.6037273561,1.24038287698,15
Devtome_Writer,17wwzTrWrk1buS9bxEFdgTsvhiyrDakBZe,0,0,0,10248,10248,10248,10,0.00317738081876,10,0,5,0.8291999571,0.0,0
Dexter,18jMxk8jqwvgpx4wT48VAb6jGbYNazz4b7,15731,4719,69,93401,109132,98810,99,0.0306359288351,99,0,36,0.770818180601,0.0,0
Diamondcardz,18q45dAKGakQdPkjrg17NrfdiFGKWULwSJ,0,0,2,2077,2077,2097,2,0.000650172480186,2,0,8,1.38659438816,0.0,0
Eammy,1EPRS5bUm6USqLWZf5faBzZF2dXhHdyfgc,0,0,5,9241,9241,9291,9,0.00288066405027,9,0,0,0.0,0.0,0
Ecafe,17tRggPGbLBVWFBoySALZXTABD2zSe3kEW,0,0,0,10411,10411,10411,10,0.00322791878456,10,0,1,0.552336110601,0.0,0
Eeharris,1CfWWyDNUeioJc7TBnqDBDyQKJUYwT7S2Z,331153,99345,2,124233,455386,223598,224,0.0693263072125,180,44,7356,2.37612892202,1.25,55
Emfox,1Emfox1WswYcd2YucUskRzqfRWKkcm1Jut,0,0,0,5518,5518,5518,6,0.00171084966412,6,0,1,0.647338034759,0.0,0
Emilianoz,1EykDePNj9311jvwcUaZczCjNFQ6Ep1zmi,10577,3173,2,13959,24536,17152,17,0.00531795821657,17,0,9,0.844419948343,0.0,0
Eroxors,1GhARG75QssPfXntVLW5wwpqPP6H2fRbmo,0,0,0,1580,1580,1580,2,0.000489877214447,2,0,1,0.884936844314,0.0,0
Estera,14VRNYCwocTSAyPprHnKx12Eim6jDBHYZq,0,0,0,16915,16915,16915,17,0.00524447663441,17,0,3,0.643856170529,0.0,0
Fheenix,1JvdsgxiJQYAJSE4Tjs3BWbXZk6Kw9mxnB,0,0,67,227964,227964,228634,229,0.0708877133214,174,55,43482,3.68441654081,1.25,69
FinShaggy,1Cz5aivRFToakTozfch7iZXSY2YBwd9qQZ,0,0,23,88296,88296,88526,89,0.027447386257,70,19,109,1.04511832628,0.808333705481,15
FuzzyBear,18xskifRMWUtMzbHSzQi7rEWF5upmktgF2,0,0,8,16423,16423,16503,17,0.00511673650001,16,1,381,2.17478870137,1.25,1
Gabcab,14JoB7XgPE57yZ4G57YrEFSurf35TGBE8t,0,0,0,7303,7303,7303,7,0.0022642868969,7,0,1,0.603533281328,0.0,0
Glongsword,1CRfD8qjUd8uKnYX35oxz8qAYrCnn2Zryc,0,0,0,1110,1110,1110,1,0.000344154245592,1,0,1,0.966597804489,0.0,0
Grantbills,1Dz6fEZma7bUwnGo44yRjgduP71cWtkgS4,0,0,3,28447,28447,28477,28,0.00882926166822,27,1,13,0.815527909489,0.75,1
Grc,1FxaZmCkaqkKxbBz52fNAMe9bRn2GoECvf,1550,465,0,709,2259,1174,1,0.000363997373266,1,0,2,1.13348825327,0.0,0
Hayek,1KqMSjRnFpeWQUhDh3p2tGtRnPuZV486sM
Heliumbm,1Fm4p5nVbKxaYaQz4kuANQG2scDBLRvECJ,0,0,0,17656,17656,17656,18,0.00547422284701,18,0,2,0.575586988567,0.0,0
Hellinoos,1GnJic1ATC7R7cbzBR6Q7Yqziv7bwj8aQY,0,0,0,15130,15130,15130,15,0.00469103940163,14,1,6,0.787326065597,0.75,1
Hemingway,1Mrin7GnKsBPJ78mqZiChKzNtY5WC84WFZ,0,0,0,25020,25020,25020,25,0.00775742272497,25,0,14,0.858097687591,0.0,0
IanBerble,1P6NSPXyGxPsetEE1qjWnvpPyZk3qnNboR,0,0,0,1078,1078,1078,1,0.000334232681755,1,0,0,0.0,0.0,0
Ibrennan,14TM5MS9J3TZF2ZmAW91kCxVUHxeWTtLji,0,0,0,1004,1004,1004,1,0.000311289065382,1,0,1,0.991158525325,0.0,0
Icoin,18HfzUZXGA3FZ1BM8abEmjBT9Wg52qQ4Sr,0,0,0,634,634,634,0,0.000196570983518,0,0,2,0.0,0.0,0
Imatt1990,17czLaECADux6yASXbxLLPqvnTSc9sD2PN,0,0,0,3821,3821,3821,4,0.0011846967319,4,0,0,0.0,0.0,0
Infoporter,1EyUQD2gwHExXnJKSkhGeQsGwAPUuVvwcE,0,0,0,781,781,781,0,0.000242148167394,0,0,7,0.0,0.0,0
Jackjack,19QkqAza7BHFTuoz9N8UQkryP4E9jHo4N3,0,0,0,1095,1095,1095,1,0.000339503512544,1,0,206,3.67442869803,0.0,0
JackRussell,1CcWpm9HSqZwE96H3SeB7V1QGUhGHfxJh,0,0,1,15696,15696,15706,16,0.00486962755069,14,2,15,0.980805664843,0.758591881402,2
Jasinlee,1Ahu957fXXwhJ5LqmpxMFHVWwSQ7h4PkXb
Jdean1,1AKHyiMrE5e648KYdvzHDcJcf8QBPjSnXR,0,0,0,2567,2567,2567,3,0.000795895449041,3,0,4,1.10849842329,0.0,0
Jessiewaterfield,1BjvzSbfC2MhAVG2xvhkjuXZxApB8CgCnn,0,0,0,9470,9470,9470,9,0.00293616279798,3,6,18,1.16494971798,0.901015797503,5
Jungle_dave,14itNE5APTMtXzNZteDeZNkNH2AUJQY1Zh,0,0,0,1775,1775,1775,2,0.000550336744078,0,2,2,1.02219666246,0.790605231121,2
