Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Proportion,Previous Cumulative Payout,Payout
Acs26,1pK5e7YxixmERU617STiXgiGdnactBQrT,0,0,0,2099,2099,2099,2,0.0012511832295,0,2
Alex0909,1Mgvwf4B1VFWKyT91tYnRVPqpTv4ddrfVT,2270,681,0,53869,56139,54550,999955,0.0325164579176,0,55
Alyssa85,1ERn5JRTm5P47LzhiLCbKtduwj9M3cPE81,0,0,3,7060,7060,7090,7,0.0042262454012,0,7
Ashleysly,1Mdu9MbAEsUm81NzEPQR7GCkUxbG39pWMy,0,0,0,9012,9012,9012,9,0.00537192151701,0,9
Atruk,1x1yenCV3GxoiGPjpE1iykCH9kcmS8fsr,0,0,0,22236,22236,22236,22,0.0132545546885,19,3
Balthozar,1kFhM8vtEzbZ43Z5wcadPvNrb4xFXbgze,0,0,4,10756,10756,10796,11,0.00643533784928,7,4
Barnacle_Ed,16xxKVrtDxTuEJhADUxVmZK94im43RXi45,0,0,0,36760,36760,36760,37,0.0219120988643,4,33
BitcoinAlchemist,1JBmwfJ4HmxTDDYwZY1rC63xR9h8Usqtat,0,0,0,15502,15502,15502,16,0.00924051568539,0,16
Bmlzootown,1Dx6QsUh2BjcYSkFdFtrCRC9Xx5fDJWeHp,0,0,0,1281,1281,1281,1,0.000763585382079,0,1
Boelens,1PZ4yQmyi4JsfhUUHJiNs15gt98MreQXw1,0,0,0,1419,1419,1419,1,0.000845845165628,0,1
CaramelSunshine,14yBc8zcJZh8nhUVx62RBX1n19Nw4pgy2q,0,0,0,3963,3963,3963,4,0.0023622863928,4,0
Ceebizcut,1M5haKYJ8PJ43kHTs6okSBLj5gUhLRQiUJ,0,0,0,7134,7134,7134,7,0.00425247315827,0,7
CryptoAddicto,1DKhy7jj8oB53iGZYrWzDSfcVoKHjsuxaa,5361,1608,0,39418,44779,41026,41,0.0244549991297,42,0
